"title","ingredients","ratings"
"Loaded Kimchi Fries","[""1 (32-ounce) package frozen French fries "",""3 tablespoons canola oil "",""1 (8-ounce) container fresh small mozzarella cheese balls "",""1/4 cup original cheese dip (such as Cheez Whiz) "",""1/4 cup mayonnaise "",""3 tablespoons hot sauce (such as Sriracha chile sauce) "",""1 cup napa cabbage kimchi, drained "",""2 scallions, thinly sliced ""]",0
"Chocolate Chip Pancakes","[""¾ cup milk "",""2 tablespoons white vinegar "",""1 cup all-purpose flour "",""2 tablespoons white sugar "",""1 teaspoon baking powder "",""½ teaspoon baking soda "",""¼ teaspoon salt "",""1 large egg "",""2 tablespoons unsalted butter, melted "",""1 teaspoon vanilla extract "",""½ cup mini chocolate chips, or more to taste "",""  cooking spray ""]",0
"One Pan Chicken Gnocchi","[""1 teaspoon butter "",""2 teaspoons olive oil "",""2 (8 ounce) skinless, boneless chicken breasts "",""1 teaspoon Italian seasoning "",""salt and freshly ground black pepper to taste "",""2 teaspoons butter "",""1 pound gnocchi "",""2 cups bite-sized broccoli florets "",""1 zucchini, sliced into thin ribbons "",""1 yellow squash, cut into half moons "",""1/2 cup quartered mushrooms "",""1/4 teaspoon Italian seasoning "",""2 cloves garlic, minced "",""1/4 cup diced red bell pepper "",""2 teaspoons butter "",""2 tablespoons minced shallot (about 1 shallot) "",""1 cup chicken broth "",""3/4 cup half-and-half "",""1/4 cup heavy cream "",""2 tablespoons all-purpose flour "",""1 tablespoon lemon juice, or more to taste ""]",0
"Crispitos","[""1 quart vegetable oil, divided, for frying "",""1 pound ground beef "",""1 onion, chopped "",""1 clove garlic, minced "",""1 packet taco seasoning "",""10 flour tortillas "",""1/4 cup salsa con queso, divided, or to taste (optional) "",""2 cups grated Cheddar cheese "",""toothpicks ""]",0
"S’Mores in a Bag","[""2 snack-sized bags of cookies, such as Nutter Butter®, Teddy Grahams®, Mini Oreos® or Nilla Wafers® "",""1 1/2 ounces chocolate candy bar, broken into pieces, such as Reese’s® Peanut Butter Cups or Hershey’s® chocolate bar "",""6 jumbo marshmallows ""]",0
"4-Ingredient Slow Cooker Peach Cobbler","[""8 cups sliced fresh or frozen peaches, thawed "",""½ cup white sugar "",""  cooking spray "",""1 (15.25 ounce) package white cake mix "",""½ cup butter, cut into 8 pieces ""]",0
"Air Fryer Chicken Quesadillas","[""2 cups shredded cooked chicken "",""1 teaspoon chili powder "",""1 teaspoon ground cumin "",""1/4 teaspoon cayenne pepper, or to taste "",""8 (8 inch) flour tortillas "",""2 cups grated cheese (see Note) "",""16 wooden toothpicks "",""olive oil cooking spray ""]",4
"Jalapeno Popper Hash Brown Cups","[""6 slices bacon "",""72 tater tots (about 16 ounces) "",""4 ounces cream cheese, softened "",""2 cups shredded Cheddar cheese "",""2 jalapeno peppers, seeded and chopped "",""1/2 teaspoon garlic powder "",""3 jalapeno, thinly sliced, or as needed for garnish (optional) ""]",0
"Sloppy Joe Smash Burgers","[""1 1/2 teaspoons olive oil "",""1/3 cup diced onion "",""1/3 cup diced green bell pepper "",""1/4 teaspoon garlic powder "",""1/2 pound ground beef "",""1/2 teaspoon kosher salt "",""1/2 teaspoon freshly ground black pepper "",""1/2 cup Sloppy Joe sauce, plus more for serving "",""2 slices thick-cut American cheese "",""2 hamburger buns ""]",0
"Shrimp Cocktail Cream Cheese Dip","[""1 (8 ounce) package cream cheese, softened "",""1 (8 ounce) jar cocktail sauce "",""½ pound cooked baby shrimp "",""3  green onions, chopped "",""1 (2.25 ounce) can sliced black olives, drained ""]",0
"Salmon Croquettes","[""1 pound boneless, skinless salmon fillets "",""½ cup baking mix (such as Bisquick) "",""½ cup diced onion "",""¼ cup diced red bell pepper "",""¼ cup freshly chopped parsley "",""1 large egg "",""3 cloves garlic, minced "",""½ teaspoon Worcestershire sauce "",""¼ teaspoon seasoned salt "",""¼ teaspoon seafood seasoning (such as Old Bay) "",""⅓ cup cornmeal "",""2 tablespoons vegetable oil ""]",5
"Ultimate Cowboy Caviar","[""1/3 cup avocado oil or other vegetable oil "",""1/3 cup seasoned rice vinegar "",""1 lime, juiced "",""3 cloves garlic, minced "",""1/4 teaspoon garlic powder "",""1 1/2 teaspoons kosher salt, plus more to taste "",""1 teaspoon white sugar "",""1 1/4 teaspoons ground cumin "",""1 teaspoon smoked paprika "",""1/2 teaspoon chipotle pepper, or to taste "",""2/3 cup finely diced red onion "",""1 1/2 cups diced fresh bell peppers "",""1/3 cup diced jarred roasted red peppers "",""1/3 cup diced pickled jalapeno peppers, or other pickled peppers "",""1 (15 ounce) can black beans, drained and rinsed "",""1 (15 ounce) can black eyed peas, drained and rinsed "",""2 cups frozen corn "",""1 cup diced fresh tomato "",""1/2 cup chopped fresh cilantro "",""scoop-style tortilla chips for serving ""]",0
"Banana Chocolate Chip Muffins","[""1 ¾ cups all-purpose flour "",""¾ cup sugar "",""1 teaspoon baking powder "",""1 teaspoon baking soda "",""½ teaspoon salt "",""½ cup vegetable oil "",""½ cup plain yogurt "",""1 large egg "",""1 teaspoon vanilla extract "",""1 cup mashed ripe bananas "",""¾ cup semisweet chocolate chips ""]",5
"Best Eton Mess","[""2 cups heavy cream "",""2 tablespoons white sugar, divided "",""1 teaspoon vanilla extract "",""2 cups fresh raspberries, divided "",""2 cups sliced fresh strawberries, divided "",""1 teaspoon balsamic vinegar "",""1 teaspoon rose water (optional) "",""8 small plain meringue cookies ""]",0
"Lemon Sheet Cake","[""2 cups cake flour "",""1 teaspoon baking powder "",""1 teaspoon baking soda "",""½ teaspoon salt "",""1 ⅓ cups white sugar "",""½ cup unsalted butter, softened "",""2 large eggs, at room temperature "",""1 cup yogurt "",""1 cup freshly squeezed lemon juice "",""1 tablespoon lemon zest "",""3 cups powdered sugar "",""¼ cup freshly squeezed lemon juice "",""2 tablespoons freshly squeezed lemon juice ""]",4
"Creamy Chicken And Asparagus Bake","[""1/4 cup all purpose flour "",""3/4 teaspoon granulated garlic "",""4 (8-ounce) boneless, skinless chicken breasts "",""2 teaspoons kosher salt "",""1/4 teaspoon freshly ground black pepper "",""1 tablespoon olive oil "",""1 tablespoon unsalted butter "",""3 tablespoons chicken broth "",""1/4 cup chopped shallot "",""1/4 cup dry white wine (such as Pinot Grigio) "",""3 thyme sprigs, plus leaves for garnish "",""1 cup chicken broth "",""1 pound fresh asparagus, trimmed and cut into 3-inch pieces "",""1/2 cup creme fraiche or sour cream "",""1/2 cup freshly grated Parmesan cheese ""]",5
"Air Fryer Smashed Potatoes","[""8 ounces baby gold potatoes "",""1 tablespoon melted unsalted butter "",""1/2 teaspoon salt "",""1/4 teaspoon garlic powder "",""1/4 teaspoon freshly ground black pepper "",""chopped fresh parsley for garnish (Optional) ""]",0
"3-Ingredient Baked Goat Cheese Dip","[""1 (8 ounce) goat cheese log "",""2 cups marinara sauce "",""¼ teaspoon kosher or sea salt (optional) "",""¼ cup fresh basil, cut into ribbons ""]",0
"Cream of Artichoke Soup","[""4 whole artichokes "",""2 cups water "",""2 cups chicken stock "",""½ cup dry vermouth "",""1  potato, diced "",""1 small carrot, diced "",""1  onion, chopped "",""1 small stalk celery, diced "",""2 cloves garlic, minced "",""2  bay leaves "",""½ teaspoon dried marjoram "",""1 cup heavy whipping cream "",""4 tablespoons freshly grated Romano cheese "",""salt to taste "",""freshly ground black pepper to taste ""]",0
"Dill Pickle Meatballs","[""cooking Spray "",""1 pound 80/20 ground beef "",""3/4 cup fine round buttery cracker crumbs (such as Ritz) (from 20 crackers) "",""1/3 cup finely chopped yellow onion "",""1 large egg, beaten "",""1 teaspoon garlic powder "",""1/2 teaspoon freshly ground black pepper, plus more for garnish "",""4 ounces feta cheese crumbled into small pieces, divided "",""1/4 cup drained and finely chopped dill pickles, plus 5 tablespoons . dill pickle juice, divided "",""3/4 cup chopped fresh mixed herbs (such as dill, mint, and flat-leaf parsley), divided, plus more for garnish "",""1 1/4 teaspoon kosher salt, divided "",""1/2 cup plain whole milk yogurt "",""2 cups buttered rice, for serving ""]",0
"Spicy Alfredo Sauce","[""1 tablespoon butter "",""2 cloves garlic cloves, minced "",""1 teaspoon Calabrian hot pepper paste, or to taste "",""3/4 cup half-and-half "",""1/4 cup heavy cream "",""1 1/2 cups freshly shredded Parmesan cheese ""]",5
"Banana Pudding Milkshake","[""1 cup 1% milk "",""2 cups vanilla frozen yogurt "",""1 banana, divided "",""1 (.9 ounce) package sugar-free banana cream pudding mix "",""1/2 cup vanilla wafers, divided ""]",0
"Creamy Salsa Dressing","[""1/2 cup prepared salsa "",""1/4 cup low-fat Greek yogurt "",""1/4 cup light mayonnaise "",""1 tablespoon lime juice "",""1/2 teaspoon ground cumin "",""salt and freshly ground black pepper to taste ""]",0
"Homemade Caesar Dressing","[""3/4 cup mayonnaise "",""5 anchovy filets "",""3 cloves garlic, minced (about 1 1/2 teaspoons if using garlic from a jar) "",""2 tablespoons grated Parmesan cheese "",""1 teaspoon Worcestershire sauce "",""1 teaspoon Dijon mustard "",""1 teaspoon lemon juice "",""1/4 teaspoon salt "",""1/2 teaspoon black pepper "",""1 pinch cayenne pepper (optional) ""]",0
"Roast Beef and Cheddar Sliders","[""4 tablespoons butter, melted, divided "",""1 (12 roll) package Hawaiian rolls, split in half horizontally "",""12 ounces deli roast beef "",""1/2 cup  thin tangy BBQ sauce, such as Arby’s® Original Sauce "",""1 cup Cheddar cheese sauce "",""1/4 teaspoon garlic powder "",""1/4 teaspoon onion powder "",""2 teaspoons everything bagel seasoning ""]",0
"Spicy Cashews","[""1 1/2 cups raw cashews "",""2 tablespoons maple syrup "",""2 teaspoons taco seasoning "",""1/4 teaspoon crushed Aleppo peppers "",""1/4 teaspoon ghost pepper salt "",""1/4 teaspoon habanero chili powder ""]",0
"Grilled Balsamic Beef","[""1/2 cup aged balsamic vinegar "",""1/4 cup olive oil "",""1 tablespoon Worcestershire sauce "",""6 garlic cloves, finely minced "",""1/2 cup sliced green onion "",""1 teaspoon freshly ground black pepper "",""2 teaspoons kosher salt "",""1/8 teaspoon cayenne pepper "",""2 teaspoons honey "",""1/4 cup fresh rosemary leaves "",""2 pounds beef top sirloin "",""4 skewers ""]",0
"Sour Cream Donuts","[""2 ¼ cups bleached cake flour (such as Swans Down®), plus more as needed "",""2 teaspoons baking powder "",""¾ teaspoon kosher salt "",""½ teaspoon ground nutmeg "",""¼ teaspoon ground cinnamon "",""⅔ cup sour cream, room temperature "",""½ cup granulated sugar "",""2 large egg yolks, room temperature "",""1 tablespoon unsalted butter, melted and cooled slightly "",""1 tablespoon vegetable oil "",""1 teaspoon vanilla extract "",""vegetable oil as needed for frying "",""4 ½ cups powdered sugar "",""½ cup unsalted butter, melted "",""6 tablespoons hot water "",""1 ½ teaspoons light corn syrup "",""¼ teaspoon kosher salt "",""¼ teaspoon vanilla extract ""]",0
"Sweet and Spicy Baked Cauliflower","[""1 large (about 2 pounds) cauliflower, cut into small florets "",""2 tablespoons olive oil "",""salt and freshly ground black pepper to taste "",""2/3 cups sweet chili sauce "",""2 teaspoons soy sauce "",""1 teaspoon chile garlic sauce, such as Sriracha® "",""1 green onion, sliced "",""1/2 teaspoon toasted sesame seeds for garnish (optional) ""]",0
"Cookies and Cream Brownies","[""1 ½ cups white sugar "",""¾ cup all-purpose flour "",""½ cup high-quality unsweetened cocoa powder "",""½ teaspoon salt "",""¼ teaspoon baking powder "",""¾ cup unsalted butter, melted "",""3 large eggs "",""1 teaspoon vanilla extract "",""32 chocolate sandwich cookies (such as Oreo), divided "",""1 (8 ounce) container frozen whipped topping (such as Cool Whip), thawed ""]",0
"Lemon Tahini Dressing","[""½  lemon, juiced "",""3 tablespoons tahini paste "",""2 tablespoons olive oil "",""2 tablespoons water "",""1 clove garlic, roughly chopped "",""½ teaspoon salt "",""¼ teaspoon freshly ground black pepper ""]",0
"Sheet Pan Black Pepper Tofu and Broccoli","[""1 (16 ounce) package extra-firm tofu "",""1 head broccoli, separated into florets "",""3 tablespoons sesame oil "",""3 tablespoons soy sauce "",""2 tablespoons cornstarch "",""1 1/2 tablespoons garlic powder "",""1 teaspoon ground ginger "",""1 1/2 tablespoons freshly groud black pepper ""]",4
"Trout Tacos","[""16 white corn tortillas "",""1/2 pound purple cabbage, thinly sliced "",""2 green onions, sliced, green and white parts separated "",""1/2 pound coleslaw mix "",""3 tablespoons Mexican crema, plus more for serving "",""1 teaspoon lime zest, or more to taste "",""lime wedges as needed, divided "",""2 tablespoons cilantro leaves, or to taste "",""salt and freshly ground black pepper "",""4 trout filets "",""3 tablespoons plus 1 teaspoon tapioca starch "",""1 tablespoon ground cumin "",""2 teaspoons chipotle powder "",""1 teaspoon Mexican oregano "",""3 tablespoons vegetable oil for frying, or as needed "",""1/2 cup prepared guacamole, or as needed for serving ""]",5
"Candied Jalapeños","[""1 pound jalapeño peppers "",""1 ¾ cups brown sugar "",""¾ cup apple cider vinegar "",""½ teaspoon garlic powder "",""½ teaspoon celery seed "",""½ teaspoon ground turmeric "",""¼ teaspoon cumin seed "",""¼ teaspoon anise seed "",""¼ teaspoon salt "",""¼ teaspoon red pepper flakes "",""  1 pint-size canning jar ""]",0
"Broccoli Fritters","[""10 ounces chopped broccoli "",""⅔ cup flour "",""2 large eggs "",""2 ounces shredded sharp Cheddar cheese "",""1 teaspoon Mexican seasoning mix (such as Goya® Sazonador Total) "",""salt and freshly ground black pepper to taste "",""2 tablespoons vegetable oil "",""2 tablespoons sour cream, or to taste "",""casero pollo asado seasoning (such as  (Lawry's®), to taste ""]",0
"Air Fryer Quesadillas","[""2 flour tortillas "",""1/2 cup shredded cheese "",""nonstick cooking spray ""]",0
"Harissa Chicken Meatballs","[""1 pound ground chicken "",""1/3 cup breadcrumbs "",""1 large egg, beaten "",""2 tablespoons harissa paste "",""3/4 teaspoon garlic powder "",""3/4 teaspoon salt "",""1/2 teaspoon ground cumin "",""1/2 teaspoon smoked paprika "",""1/4 teaspoon freshly ground black pepper "",""2 tablespoons minced fresh mint (optional) ""]",0
"Buffalo Caesar Chicken Crust Pizza","[""1 (10 ounce) can chicken breast, well drained "",""1/3 cup freshly grated Parmesan cheese "",""2 tablespoons Buffalo sauce, plus more to drizzle "",""1 large egg "",""1 (9.8 ounce) bag Caesar salad mix "",""1/4 cup sliced celery "",""2 tablespoons crumbled blue cheese (optional) ""]",0
"Boursin Chicken","[""2 pounds boneless, skinless chicken thighs "",""salt and freshly ground black pepper to taste "",""1 tablespoon unsalted butter "",""1 tablespoon olive oil "",""⅓ cup thinly sliced shallots "",""1 ½ cups heavy cream "",""1 (5.2 ounce) package shallot and chive cheese spread (such as Boursin) "",""  chopped fresh chives (Optional) ""]",5
"Strawberry Crunch Cake","[""baking spray with flour "",""2 ½ cups all-purpose flour "",""3 tablespoons strawberry-flavored gelatin, such as Jell-O (from 1 (3 ounce) package) "",""1 teaspoon baking powder "",""1 teaspoon kosher salt "",""½ teaspoon baking soda "",""1 cup unsalted butter, softened "",""2 cups granulated sugar "",""3 large eggs "",""2 teaspoons vanilla extract "",""1 ½ cups whole buttermilk "",""1 ½ cups unsalted butter, softened "",""¼ teaspoon kosher salt "",""1 tablespoon vanilla extract "",""4 cups powdered sugar, sifted "",""2 tablespoons heavy cream, or more as needed "",""25  golden Oreo cookies "",""⅔ cup freeze-dried strawberries "",""⅛ teaspoon kosher salt "",""4 tablespoons melted unsalted butter ""]",5
"Frangipane Strawberry Shortcake","[""1/2 cup butter, softened "",""1/2 cup white sugar "",""1 large egg, at room temperature "",""2 tablespoons milk "",""1/3 cup all-purpose flour "",""1/2 teaspoon baking powder "",""1/4 teaspoon fine salt "",""1/4 teaspoon vanilla extract "",""1/8 teaspoon almond extract "",""1 cup almond flour "",""1/4 cup sliced almonds "",""2 pounds strawberries "",""2/3 cup white sugar ""]",5
"Pork Chile Verde","[""1 ½ pounds fresh tomatillos, or more to taste, husks removed "",""3 serrano peppers "",""4 cloves garlic, peeled "",""1 tablespoon olive oil "",""3 tablespoons lard or vegetable oil "",""3 pounds pork shoulder, or more to taste, trimmed and cut into 1 ½-inch cubes "",""2 teaspoons garlic salt "",""½ teaspoon freshly ground black pepper "",""1 medium yellow onion, coarsely chopped "",""1  green bell pepper, coarsely chopped "",""½ cup red wine "",""1 cup low-sodium chicken stock "",""⅓ cup chopped fresh cilantro "",""1 teaspoon dried oregano "",""1 teaspoon ground cumin "",""1 teaspoon kosher salt ""]",0
"German Rhubarb Almond Cake","[""6 cups peeled and chopped rhubarb "",""¾ cup white sugar "",""7 tablespoons unsalted butter, softened "",""⅓ cup white sugar "",""2 cups all-purpose flour "",""2 tablespoons white wine "",""2 teaspoons baking powder "",""1 large egg "",""1 cup almond flour "",""¾ cup crème fraîche "",""2 tablespoons crème fraîche "",""⅔ cup white sugar "",""2 large eggs "",""2 teaspoons vanilla sugar "",""1 teaspoon ground cinnamon ""]",5
"Lemon Curd-Poppy Seed Crumb Bars","[""3/4 cup unsalted butter, melted and cooled slightly "",""1 cup firmly packed light brown sugar "",""1 1/2 teaspoons vanilla extract "",""1 teaspoon salt "",""1/4 teaspoon almond extract "",""2 cups all-purpose flour "",""1/4 teaspoon baking powder "",""1 tablespoon poppy seeds "",""3/4 cup lemon curd "",""1 tablespoon fresh lemon zest "",""1 tablespoon all-purpose flour "",""1 large egg, at room temperature "",""1/2 teaspoon vanilla extract "",""1/8 teaspoon salt "",""1 (14 ounce) can sweetened condensed milk ""]",0
"Bang Bang Deviled Eggs","[""6 large eggs, hard-cooked "",""3 tablespoons Japanese mayonnaise (such as Kewpie) "",""1 tablespoons sweet Thai chili sauce (such as Mae Ploy) "",""1 teaspoon Sriracha chile sauce, or to taste "",""1 teaspoon rice vinegar "",""1 green onion, finely chopped "",""1 teaspoon paprika, for garnish ""]",4
"Mini Lemon Tarts","[""1 cup white sugar "",""⅓ cup freshly squeezed lemon juice "",""3 large eggs "",""3 tablespoons all-purpose flour "",""1 tablespoon lemon zest "",""2 cups all-purpose flour "",""1 cup unsalted butter, softened "",""½ cup white sugar "",""½ teaspoon kosher salt ""]",5
"Lemon Asparagus and Chicken Pasta","[""½ (16 ounce) package spaghetti "",""2 tablespoons olive oil, divided "",""4 (5-ounce) skinless, boneless chicken breast halves "",""¼ cup basil pesto, or to taste "",""1 bunch asparagus, cut into 2-inch pieces "",""4 cloves garlic, chopped "",""1 teaspoon red pepper flakes "",""½ lemon, juiced "",""1 cup shredded Parmesan cheese "",""salt and freshly ground black pepper to taste ""]",5
"Sheet Pan Quesadillas","[""1 tablespoon olive oil "",""1  onion, chopped "",""1  green bell pepper, chopped "",""1  red bell pepper, chopped "",""1 pound skinless, boneless chicken breast, chopped "",""2 tablespoons water "",""1 (1.12 ounce) package fajita seasoning mix "",""8 flour tortillas "",""2 cups shredded Mexican cheese blend "",""4 tablespoons sour cream, for serving "",""4 tablespoons pico de gallo, or to taste "",""2 tablespoons chopped fresh cilantro, for garnish ""]",5
"Blender Chocolate Mousse","[""1 cup heavy cream "",""1/4 cup unsweetened cocoa powder "",""1/4 cup confectioner's sugar "",""1 1/2 teaspoons instant espresso powder "",""1/2 teaspoon vanilla extract "",""1 pinch salt ""]",0
"The Best Grilled Chicken Breasts","[""6 (6 ounce) skinless, boneless chicken breasts "",""1/4 cup olive oil "",""3 tablespoons Dijon mustard "",""3 tablespoons honey "",""2 tablespoons soy sauce "",""2 tablespoons lemon juice "",""3 cloves garlic, finely minced "",""1 1/2 teaspoons onion powder "",""1/2 teaspoon ground ginger "",""oil or cooking spray "",""2 teaspoons kosher salt ""]",0
"Creamy Chicken Fajita Pasta","[""2 tablespoons chili powder "",""1 tablespoon cumin "",""2 teaspoons salt "",""1 teaspoon onion powder "",""1 teaspoon garlic powder "",""1 teaspoon Mexican oregano "",""1 ½ pounds chicken breasts, cut into strips "",""2 tablespoons olive oil, divided "",""1 red onion, peeled and cut into ½-inch wedges "",""4 garlic cloves, minced "",""1 cup chicken broth, or more as needed "",""1 cup salsa "",""4 cups milk "",""1 pound penne pasta "",""1 red bell pepper, cut into ½-inch strips "",""1 green bell pepper, cut into ½-inch strips "",""1 yellow bell pepper, cut into ½-inch strips "",""4 cups shredded Mexican 4-cheese blend "",""¼ cup minced cilantro ""]",5
"Zucchini and Asparagus Orzo Risotto","[""2 ½ cups vegetarian chicken-flavored broth "",""2 cups low-sodium vegetable broth "",""3 tablespoons unsalted butter "",""1 tablespoon extra-virgin olive oil "",""½ medium yellow onion, diced "",""¾ teaspoon red pepper flakes "",""sea salt and freshly cracked black pepper to taste "",""1 zucchini, halved lengthwise and sliced "",""2 cups uncooked orzo pasta "",""¼ cup dry white wine "",""  1 hard cheese rind "",""½ teaspoon sea salt "",""1 bunch fresh asparagus, trimmed and cut into 2-inch pieces "",""1 cup frozen peas "",""½ cup finely grated Grana Padano cheese "",""½ cup chopped fresh parsley "",""1 lemon, zested and juiced ""]",0
"Grilled Chicken Meatballs","[""1 pound ground chicken "",""1 tablespoon sesame oil "",""1 tablespoon soy sauce "",""1 tablespoon mirin "",""1 teaspoon kosher salt "",""1 pinch freshly ground black pepper "",""1 pinch cayenne pepper "",""1/3 cup thinly sliced green onions "",""2 cloves garlic, crushed "",""2 tablespoons plain fine bread crumbs "",""1 tablespoon ketchup "",""2 tablespoons hoisin sauce "",""2 teaspoons grated fresh ginger "",""2 tablespoons rice vinegar "",""4 skewers ""]",4.3
"Shrimp and Chicken Stir-Fry","[""1 1/2 cups seafood stock or chicken stock "",""2 teaspoons sugar (optional) "",""1 tablespoon chilI garlic sauce (such as Sriracha®), or to taste "",""1/4 cup soy sauce "",""1/2 teaspoon ground ginger, or to taste "",""1/2 teaspoon granulated garlic "",""1/2 teaspoon freshly ground white pepper "",""salt to taste "",""2 tablespoons cornstarch "",""2 tablespoons vegetable oil "",""1/2 pound skinless, boneless chicken breast, cut into thin strips "",""3/4 cup 1/2-inch-diced onion "",""1 cup 1/2-inch-thick diagonally sliced celery "",""1 cup sliced mushrooms "",""1 cup 1/2-inch-diced mixed red and yellow bell peppers "",""1 cup snow peas, ends trimmed "",""1 cup broccoli florets "",""1 pound shrimp, shelled and deveined "",""1 teaspoon sesame oil, or to taste "",""2 scallions, sliced, or more as needed "",""1 teaspoon sesame seeds, or as needed ""]",0
"One Bowl Blackberry Cobbler","[""4 cups fresh or frozen blackberries "",""1 cup white sugar "",""1 cup all-purpose flour "",""1 large egg "",""6 tablespoons butter, melted "",""1 teaspoon vanilla extract ""]",0
"Coffee Creamer French Toast","[""1/2 cup cinnamon French toast flavor coffee creamer (such as Chobani® Cinnamon French toast) "",""1 1/2 teaspoons brown sugar "",""1/4 teaspoon cinnamon "",""1 splash Mexican vanilla extract "",""1 pinch salt "",""4 slices Italian bread (such as Turano® Pane Turano) "",""1 tablespoon butter "",""whipped cream (optional) "",""pinch ground cinnamon (optional) "",""prepared caramel sauce, to taste (optional) ""]",5
"Watermelon Sour Patch Cocktail","[""sugar as needed, for rim "",""1 lime wedge "",""2 cups ice, or as needed "",""2 fluid ounces strawberry schnapps "",""2 fluid ounces vanilla vodka "",""2 fluid ounces sweet and sour mix ""]",5
"Chicken Laredo with Cilantro Cream","[""4 (6 to 8 ounce) skinless, boneless chicken breasts "",""1/4 cup orange juice "",""2 tablespoons apple cider vinegar "",""1 1/2 tablespoons chili powder "",""1 teaspoon dried Mexican oregano "",""2 cloves garlic, minced "",""1 teaspoon salt, or to taste "",""1/2 teaspoon freshly ground black pepper, or to taste "",""1 pinch ground cinnamon "",""1 cup sour cream "",""1/2 cup roughly chopped fresh cilantro "",""2 tablespoons mayonnaise "",""1 tablespoon lime juice "",""1/2 teaspoon salt "",""1 pinch red pepper flakes "",""4 slices Monterey Jack cheese "",""1 avocado - peeled, pitted, and sliced "",""1/2 cup chopped tomato "",""cilantro sprigs (optional) "",""lime slices (optional) ""]",0
"S'mores Cupcakes","[""1 1/2 cups graham cracker crumbs "",""6 tablespoons unsalted butter, melted "",""6 tablespoons firmly packed brown sugar "",""1 pinch salt "",""1 pinch ground nutmeg "",""1 pinch ground cinnamon "",""1/2 cup boiling water "",""1/2 cup unsweetened cocoa powder "",""1/2 teaspoon instant espresso powder "",""4 tablespoons unsalted butter, softened "",""2 tablespoons vegetable oil "",""1 cup firmly packed brown sugar "",""1 large egg, at room temperature "",""2 teaspoons vanilla extract "",""1/2 teaspoon salt "",""1 cup cake flour "",""1/2 teaspoon baking powder "",""1/2 teaspoon baking soda "",""2/3 cup sour cream, at room temperature "",""18 large marshmallows "",""4 large egg whites, at room temperature "",""2/3 cup white sugar "",""6 tablespoons cold water "",""1/2 teaspoon cream of tartar "",""1 pinch salt "",""1 1/2 teaspoons vanilla extract "",""1/8 teaspoon almond extract ""]",0
"Orange Cinnamon Rolls","[""¾ cup warm whole milk (110 degrees F (43 degrees C)) "",""1 (.25 ounce) package active dry yeast "",""1 large egg, room temperature "",""1 large egg yolk, room temperature "",""½ cup unsalted butter, softened "",""2 tablespoons honey "",""1 ½ teaspoons freshly grated orange zest "",""¼ cup freshly squeezed orange juice "",""3 ½ cups all-purpose flour, divided, or more as needed "",""1 ½ teaspoons kosher salt "",""  cooking spray "",""½ cup unsalted butter, softened "",""½ cup light brown sugar "",""2 teaspoons ground cinnamon "",""1 ½ teaspoons freshly grated orange zest "",""4 ounces cream cheese, softened "",""1 cup powdered sugar "",""1 tablespoon freshly grated orange zest "",""1 tablespoon freshly squeezed orange juice "",""¼ teaspoon kosher salt ""]",5